Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
104108, 词条初始信息均引自国家企业信用信息公示系统,22,21,1,,1944,6.7204%,
115248,习近平新时代中国特色社会主义思想,16,16,2,,1982,6.8517%,
125953,经相关部门批准后方可开展经营活动,16,16,3,,1713,5.9218%,
104106,百度百科企业词条极速创建通道,14,14,4,,722,2.4959%,
124859,本文内容及图片均来源网络,12,12,5,,1005,3.4743%,
117977,人民代表大会常务委员会,11,11,6,,1413,4.8847%,
117233,是一种怎么样的存在,9,9,7,,4173,14.4260%,
117424,锅内倒入植物油烧热,9,9,8,,406,1.4035%,
117655,人力资源和社会保障,9,9,9,,626,2.1641%,
120302,社会主义核心价值观,9,9,10,,360,1.2445%,
120700,依法须经批准的项目,9,9,11,,343,1.1857%,
103274,公司经营范围包括,8,8,12,,245,0.8470%,
104153,出版社出版的图书,8,8,13,,384,1.3275%,
114849,差异有统计学意义,8,8,14,,945,3.2668%,
118275,中华民族伟大复兴,8,8,15,,184,0.6361%,
119540,科技股份有限公司,8,8,16,,230,0.7951%,
121694,国家自然科学基金,8,8,17,,292,1.0094%,
122571,月加入中国共产党,8,8,18,,429,1.4830%,
123870,差异无统计学意义,8,8,19,,111,0.3837%,
125295,网络科技有限公司,8,8,20,,4,0.0138%,
103130,中华人民共和国,7,7,21,,25,0.0864%,
104908,创作的网络小说,7,7,22,,503,1.7389%,
110979,市场监督管理局,7,7,23,,689,2.3819%,
112205,的重要组成部分,7,7,24,,796,2.7518%,
113357,非物质文化遗产,7,7,25,,339,1.1719%,
113423,工商行政管理局,7,7,26,,517,1.7873%,
114754,科技有限公司于,7,7,27,,157,0.5427%,
115194,党的二十大精神,7,7,28,,326,1.1270%,
116110,基督教上帝亿次,7,7,29,,513,1.7734%,
116748,社会主义现代化,7,7,30,,147,0.5082%,
121264, 中华人民共和国,8,7,31,,11,0.0380%,
121644,经济技术开发区,7,7,32,,548,1.8944%,
121707,我为群众办实事,7,7,33,,961,3.3222%,
122274,中国人民解放军,7,7,34,,192,0.6637%,
122554,习近平总书记在,7,7,35,,142,0.4909%,
123191,新时代文明实践,7,7,36,,122,0.4218%,
123706,住房和城乡建设,7,7,37,,279,0.9645%,
125821,中国共产党成立,7,7,38,,76,0.2627%,
104084,有限责任公司,6,6,39,,127,0.4390%,
107278,集团有限公司,6,6,40,,85,0.2938%,
108443,党史学习教育,6,6,41,,161,0.5566%,
109090,管理有限公司,6,6,42,,1,0.0035%,
110452,经济社会发展,6,6,43,,58,0.2005%,
110864,值得一提的是,6,6,44,,250,0.8642%,
111309,疫情防控工作,6,6,45,,261,0.9023%,
112480,最高人民法院,6,6,46,,330,1.1408%,
112908,职业技术学院,6,6,47,,80,0.2766%,
113168,行政主管部门,6,6,48,,6,0.0207%,
113818,值得注意的是,6,6,49,,70,0.2420%,
114209, 有限责任公司,7,6,50,,8,0.0277%,
114482,基础设施建设,6,6,51,,56,0.1936%,
115039,新冠肺炎疫情,6,6,52,,51,0.1763%,
115128,发展有限公司,6,6,53,,1,0.0035%,
115401,在一定程度上,6,6,54,,270,0.9334%,
115712,新型冠状病毒,6,6,55,,171,0.5911%,
115822,在这种情况下,6,6,56,,486,1.6801%,
116099,工程有限公司,6,6,57,,21,0.0726%,
116193,思想政治教育,6,6,58,,67,0.2316%,
118777,中级人民法院,6,6,59,,58,0.2005%,
119391,服务有限公司,6,6,60,,100,0.3457%,
119623,具有重要意义,6,6,61,,64,0.2212%,
119688,解决这个问题,6,6,62,,477,1.6490%,
119814,证券投资基金,6,6,63,,105,0.3630%,
119904,微信公众平台,6,6,64,,105,0.3630%,
120128,设备有限公司,6,6,65,,52,0.1798%,
120554,工作领导小组,6,6,66,,118,0.4079%,
120663,植物油各适量,6,6,67,,198,0.6845%,
120878,国家税务总局,6,6,68,,33,0.1141%,
120937,以下几个方面,6,6,69,,407,1.4070%,
121238,需要注意的是,6,6,70,,72,0.2489%,
121564,文物保护单位,6,6,71,,221,0.7640%,
121598,政府信息公开,6,6,72,,56,0.1936%,
121661,工业和信息化,6,6,73,,19,0.0657%,
121880,技术有限公司,6,6,74,,1,0.0035%,
121939,思考这个问题,6,6,75,,52,0.1798%,
122185,全面从严治党,6,6,76,,230,0.7951%,
122221,高新技术企业,6,6,77,,10,0.0346%,
122349,重要讲话精神,6,6,78,,73,0.2524%,
122404,高质量发展的,6,6,79,,30,0.1037%,
122551,投资有限公司,6,6,80,,1,0.0035%,
122623,内蒙古自治区,6,6,81,,58,0.2005%,
123095,人力资源管理,6,6,82,,1,0.0035%,
123608,道路交通安全,6,6,83,,270,0.9334%,
123865,优秀传统文化,6,6,84,,113,0.3906%,
123947,深入学习贯彻,6,6,85,,96,0.3319%,
124024,在这个过程中,6,6,86,,145,0.5013%,
124133,实业有限公司,6,6,87,,5,0.0173%,
124630,企业管理咨询,6,6,88,,31,0.1072%,
124750,市人大常委会,6,6,89,,24,0.0830%,
125007,安全生产工作,6,6,90,,288,0.9956%,
125072,生态环境保护,6,6,91,,143,0.4943%,
125415,中国人民大学,6,6,92,,28,0.0968%,
125800,中国人民银行,6,6,93,,23,0.0795%,
126020,是非常重要的,6,6,94,,51,0.1763%,
126059,在很大程度上,6,6,95,,93,0.3215%,
126148,粤港澳大湾区,6,6,96,,45,0.1556%,
126151,固定资产投资,6,6,97,,37,0.1279%,
126177,食品有限公司,6,6,98,,132,0.4563%,
126254,无症状感染者,6,6,99,,218,0.7536%,
126771,委员会副主任,6,6,100,,43,0.1487%,
126834,版权归原作者,6,6,101,,135,0.4667%,
126912, 图片发自简书app,10,6,102,,50,0.1728%,
126919,越来越多的人,6,6,103,,279,0.9645%,
127110,用水淀粉勾芡,6,6,104,,179,0.6188%,
127289,贸易有限公司,6,6,105,,55,0.1901%,
127309,很长一段时间,6,6,106,,305,1.0544%,
127367,会计师事务所,6,6,107,,186,0.6430%,
127437,住房城乡建设,6,6,108,,1,0.0035%,
127457,生态文明建设,6,6,109,,3,0.0104%,
102653,法定代表人,5,5,110,,5,0.0173%,
104770,马克思主义,5,5,111,,91,0.3146%,
107524,微信公众号,5,5,112,,29,0.1003%,
107971,人民检察院,5,5,113,,56,0.1936%,
107975,之间的关系,5,5,114,,159,0.5497%,
108092,农村残疾人,5,5,115,,115,0.3976%,
108356,可持续发展,5,5,116,,86,0.2973%,
108576,志愿服务队,5,5,117,,90,0.3111%,
108577,存在的问题,5,5,118,,7,0.0242%,
108580,市人民政府,5,5,119,,11,0.0380%,
109490,新能源汽车,5,5,120,,293,1.0129%,
110436,属于自己的,5,5,121,,203,0.7018%,
110444,日常生活中,5,5,122,,147,0.5082%,
110446,各种各样的,5,5,123,,14,0.0484%,
110717,房地产开发,5,5,124,,207,0.7156%,
110732,更重要的是,5,5,125,,66,0.2282%,
110763,犯罪嫌疑人,5,5,126,,58,0.2005%,
110906,问题的关键,5,5,127,,28,0.0968%,
111249,党委副书记,5,5,128,,8,0.0277%,
111530,委员会委员,5,5,129,,1,0.0035%,
111836,最重要的是,5,5,130,,6,0.0207%,
111882,学生的学习,5,5,131,,54,0.1867%,
112493,进一步加强,5,5,132,,259,0.8954%,
112888,硕士研究生,5,5,133,,198,0.6845%,
113139,具有一定的,5,5,134,,53,0.1832%,
113183,律师事务所,5,5,135,,26,0.0899%,
113220,解决问题的,5,5,136,,3,0.0104%,
113226,在此基础上,5,5,137,,61,0.2109%,
113323,进一步提高,5,5,138,,13,0.0449%,
113374,县人民政府,5,5,139,,38,0.1314%,
113382,重要的作用,5,5,140,,18,0.0622%,
113438,大学出版社,5,5,141,,1,0.0035%,
113611,不可避免的,5,5,142,,589,2.0362%,
113764,的一个重要,5,5,143,,131,0.4529%,
113932,类网络小说,5,5,144,,45,0.1556%,
113991,大家都知道,5,5,145,,241,0.8331%,
114096,中国科学院,5,5,146,,3,0.0104%,
114104,的工作人员,5,5,147,,26,0.0899%,
114187,适合自己的,5,5,148,,134,0.4632%,
114235,党支部书记,5,5,149,,43,0.1487%,
114301,演唱的歌曲,5,5,150,,112,0.3872%,
114677,相关负责人,5,5,151,,37,0.1279%,
114887,进一步提升,5,5,152,,39,0.1348%,
114950,足球俱乐部,5,5,153,,120,0.4148%,
115129,具有良好的,5,5,154,,186,0.6430%,
115162,街道办事处,5,5,155,,80,0.2766%,
115383,培养学生的,5,5,156,,67,0.2316%,
115423,人民出版社,5,5,157,,1,0.0035%,
115690,经济发展的,5,5,158,,3,0.0104%,
115763,的主要原因,5,5,159,,119,0.4114%,
115879,前所未有的,5,5,160,,161,0.5566%,
115919,企事业单位,5,5,161,,13,0.0449%,
115927,一般情况下,5,5,162,,32,0.1106%,
116025,足球运动员,5,5,163,,60,0.2074%,
116115,每个人都有,5,5,164,,96,0.3319%,
